Method,Test_ID,Operating_Regime,Load_Current_A,Applied_Voltage_kV,p1_max_abs_residual,Validity_Label,FP_Analysis
Isolation_Forest,TRN-0868,Heavy HV Load,101.6303,28.3339,4.666602657930994,Valid,Historically Valid test flagged by Isolation_Forest. Likely high operating condition or unusual sensor fluctuation.
Isolation_Forest,TRN-0020,Standard,21.4776,9.4876,1.451568860529001,Valid,Historically Valid test flagged by Isolation_Forest. Likely high operating condition or unusual sensor fluctuation.
Isolation_Forest,TRN-0067,High Voltage,29.3598,30.9408,5.317602917063425,Valid,Historically Valid test flagged by Isolation_Forest. Likely high operating condition or unusual sensor fluctuation.
Isolation_Forest,TRN-0859,Standard,20.9785,16.4487,11.632780673956105,Valid,Historically Valid test flagged by Isolation_Forest. Likely high operating condition or unusual sensor fluctuation.
Isolation_Forest,TRN-0747,Standard,16.276,8.1623,7.755966729564683,Valid,Historically Valid test flagged by Isolation_Forest. Likely high operating condition or unusual sensor fluctuation.
Isolation_Forest,TRN-0438,Standard,44.797,9.2579,20.82632653945388,Valid,Historically Valid test flagged by Isolation_Forest. Likely high operating condition or unusual sensor fluctuation.
Residual_Consistency_Threshold,TRN-0889,Heavy Current,93.1228,16.7196,13.105228196986523,Valid,Historically Valid test flagged by Residual_Consistency_Threshold. Likely high operating condition or unusual sensor fluctuation.
Residual_Consistency_Threshold,TRN-0820,Standard,82.523,21.4477,9.06443633620836,Valid,Historically Valid test flagged by Residual_Consistency_Threshold. Likely high operating condition or unusual sensor fluctuation.
Residual_Consistency_Threshold,TRN-0411,Heavy Current,107.3619,19.2432,5.0690145373841915,Valid,Historically Valid test flagged by Residual_Consistency_Threshold. Likely high operating condition or unusual sensor fluctuation.
Residual_Consistency_Threshold,TRN-0754,Standard,69.969,22.7191,5.009946196561167,Valid,Historically Valid test flagged by Residual_Consistency_Threshold. Likely high operating condition or unusual sensor fluctuation.
Residual_Consistency_Threshold,TRN-0707,Heavy Current,108.8999,13.5008,5.730852034660323,Valid,Historically Valid test flagged by Residual_Consistency_Threshold. Likely high operating condition or unusual sensor fluctuation.
Residual_Consistency_Threshold,TRN-0881,Standard,69.0397,21.5217,5.232909205586502,Valid,Historically Valid test flagged by Residual_Consistency_Threshold. Likely high operating condition or unusual sensor fluctuation.
Residual_Consistency_Threshold,TRN-0095,Heavy HV Load,98.1134,27.0232,5.9123999462972066,Valid,Historically Valid test flagged by Residual_Consistency_Threshold. Likely high operating condition or unusual sensor fluctuation.
Residual_Consistency_Threshold,TRN-0633,High Voltage,35.2106,27.3166,12.819426703848421,Valid,Historically Valid test flagged by Residual_Consistency_Threshold. Likely high operating condition or unusual sensor fluctuation.
Residual_Consistency_Threshold,TRN-0138,Standard,48.0925,17.7127,15.026115564705314,Valid,Historically Valid test flagged by Residual_Consistency_Threshold. Likely high operating condition or unusual sensor fluctuation.
Residual_Consistency_Threshold,TRN-0591,Heavy Current,88.373,10.2728,34.15544712009943,Valid,Historically Valid test flagged by Residual_Consistency_Threshold. Likely high operating condition or unusual sensor fluctuation.
