Test_ID,Actual_Validity,Actual_Binary,Supervised_Prediction,Supervised_Binary,Supervised_Probability_Invalid,IsolationForest_Score,IsolationForest_Flag,LOF_Score,LOF_Flag,Agreement_Group,Applied_Voltage_kV,Load_Current_A,Ambient_Temperature_C,Test_Duration_min,Sensor_S1,Sensor_S2,Sensor_S3,Sensor_S4,missing_any,duplicate_measurement_pair,data_quality_issue
TRN-0993,Valid,0,Invalid,1,0.67,0.4757472684512215,0,1.0297305704124757,0,Group 2 (Supervised Invalid / Anomaly Normal),30.921,107.667,40.2538,39.6437,21.2226,21.4006,26.4027,52.0188,False,False,False
TRN-0024,Valid,0,Valid,0,0.36,0.5792390846498048,1,0.9841498338269211,0,Group 3 (Supervised Valid / Anomaly Anomalous),17.4295,76.4987,41.6689,49.1177,12.8582,14.1314,15.8929,,True,False,True
TRN-0551,Invalid,1,Invalid,1,0.8,0.48355462089868745,0,1.457475596100276,0,Group 2 (Supervised Invalid / Anomaly Normal),23.5579,70.8232,32.6027,43.3158,15.7487,24.8572,19.3857,22.1708,False,False,False
TRN-0589,Invalid,1,Invalid,1,1.0,0.49942087020282355,0,0.990501322924579,0,Group 2 (Supervised Invalid / Anomaly Normal),23.5742,80.0256,28.2073,5.4162,15.6847,15.9431,19.5115,52.9688,False,True,False
TRN-0203,Invalid,1,Valid,0,0.46,0.5532235960748851,1,15.532720837384904,1,Group 3 (Supervised Valid / Anomaly Anomalous),12.9827,26.2827,18.5198,33.0949,8.5219,-0.2015,11.2283,67.3265,False,False,False
TRN-0838,Valid,0,Valid,0,0.2,0.5213464298211284,1,1.2775740873459644,0,Group 3 (Supervised Valid / Anomaly Anomalous),31.932,79.8589,32.6147,44.5479,20.6119,19.6283,25.9704,14.6559,False,False,False
TRN-0321,Invalid,1,Invalid,1,0.73,0.49224541207111283,0,1.705858753592251,1,Group 2 (Supervised Invalid / Anomaly Normal),16.4319,106.2896,25.8871,25.654,14.4604,15.843,1.0,69.2522,False,False,False
TRN-0867,Valid,0,Valid,0,0.17,0.5998660031572843,1,1.0241803382339973,0,Group 3 (Supervised Valid / Anomaly Anomalous),12.4308,52.8897,31.9177,46.884,9.4185,10.1833,11.7055,,True,False,True
TRN-0416,Valid,0,Valid,0,0.27,0.595804035065085,1,0.9820024537853186,0,Group 3 (Supervised Valid / Anomaly Anomalous),16.6191,71.8971,38.4489,6.7605,12.0738,13.1961,14.7668,,True,False,True
TRN-0188,Valid,0,Valid,0,0.2,0.6362341099583717,1,1.0013832892247165,0,Group 3 (Supervised Valid / Anomaly Anomalous),26.6142,90.5936,48.4553,12.0777,17.7157,18.4443,22.0111,,True,False,True
TRN-0944,Invalid,1,Valid,0,0.32,0.5347599320260555,1,1.1409864974240427,0,Group 3 (Supervised Valid / Anomaly Anomalous),9.9425,82.4452,35.8081,40.7018,9.6835,11.9735,,50.8812,True,False,True
TRN-0893,Valid,0,Valid,0,0.09,0.5098092910368589,1,1.352629194440944,0,Group 3 (Supervised Valid / Anomaly Anomalous),14.6172,18.3131,44.6837,8.8063,8.0847,8.1434,10.6928,87.7375,False,False,False
TRN-0078,Valid,0,Valid,0,0.26,0.5283006345863172,1,1.345653281040179,0,Group 3 (Supervised Valid / Anomaly Anomalous),30.5467,109.1931,43.2382,33.7685,20.9985,21.4309,25.9315,77.0158,False,False,False
TRN-0793,Invalid,1,Valid,0,0.37,0.5784606776227973,1,2.160028440392007,1,Group 3 (Supervised Valid / Anomaly Anomalous),29.9433,90.2695,38.0274,29.5678,,19.314,24.3668,51.4928,True,False,True
TRN-0399,Valid,0,Valid,0,0.19,0.5107876141684159,1,1.2376350243224823,0,Group 3 (Supervised Valid / Anomaly Anomalous),10.3861,18.7855,32.6305,50.6218,6.3956,6.3908,8.4581,20.3764,False,False,False
TRN-0805,Invalid,1,Invalid,1,1.0,0.4865920816491763,0,0.9790744866077257,0,Group 2 (Supervised Invalid / Anomaly Normal),15.6191,87.307,31.2849,31.8206,12.6735,13.9206,15.2714,60.0861,False,True,False
TRN-0604,Invalid,1,Invalid,1,0.52,0.4349379595992053,0,1.1679686996172547,0,Group 2 (Supervised Invalid / Anomaly Normal),29.1572,28.9227,36.6761,40.8287,16.2795,7.4881,21.7575,56.1516,False,False,False
TRN-0383,Valid,0,Valid,0,0.31,0.5727160781320835,1,0.9764654489747834,0,Group 3 (Supervised Valid / Anomaly Anomalous),19.269,79.1736,31.6065,46.7932,14.3271,14.7891,17.4732,,True,False,True
TRN-0596,Valid,0,Valid,0,0.12,0.6120432731284882,1,1.0705846003191124,0,Group 3 (Supervised Valid / Anomaly Anomalous),14.7864,22.9753,32.572,55.831,8.9076,8.5735,11.5828,,True,False,True
TRN-0968,Invalid,1,Invalid,1,0.65,0.47340087814040094,0,1.452284308207053,0,Group 2 (Supervised Invalid / Anomaly Normal),16.2319,44.2376,28.252,32.7977,10.808,1.0,13.7394,58.1263,False,False,False
TRN-0081,Invalid,1,Invalid,1,0.93,0.49537102532138694,0,0.9790744866077254,0,Group 2 (Supervised Invalid / Anomaly Normal),15.3642,103.1518,32.9891,37.3924,13.7518,15.742,16.2821,60.6418,False,True,False
TRN-0671,Valid,0,Valid,0,0.22,0.5887283179485441,1,0.9871940054625229,0,Group 3 (Supervised Valid / Anomaly Anomalous),22.0527,73.0502,31.3211,59.7622,15.2807,15.2178,18.7654,,True,False,True
TRN-0755,Invalid,1,Invalid,1,0.62,0.45002975803301,0,1.2838637825201955,0,Group 2 (Supervised Invalid / Anomaly Normal),10.3894,48.2646,38.2092,52.4993,8.0078,9.087,1.0,55.6166,False,False,False
TRN-0839,Invalid,1,Invalid,1,0.7,0.41485975858483903,0,1.1403401103129829,0,Group 2 (Supervised Invalid / Anomaly Normal),17.7608,75.605,32.4239,44.923,9.5081,18.8042,16.0689,59.2908,False,False,False
TRN-0667,Valid,0,Valid,0,0.44,0.5886923253974269,1,0.9823745390107839,0,Group 3 (Supervised Valid / Anomaly Anomalous),20.5759,66.0268,39.7271,8.0398,13.5048,14.0092,16.7079,,True,False,True
TRN-0925,Valid,0,Valid,0,0.38,0.5957044035956274,1,1.0111166029780996,0,Group 3 (Supervised Valid / Anomaly Anomalous),13.0887,88.1928,20.6398,53.3602,11.8486,13.1677,14.1438,,True,False,True
TRN-0049,Invalid,1,Invalid,1,1.0,0.494295918477819,0,0.9864085007809388,0,Group 2 (Supervised Invalid / Anomaly Normal),16.6379,22.9675,37.3504,24.5539,9.2704,8.9039,12.3042,61.3833,False,True,False
TRN-0043,Invalid,1,Invalid,1,1.0,0.47834208041762516,0,0.9905013229245789,0,Group 2 (Supervised Invalid / Anomaly Normal),26.7385,70.3804,36.3881,33.2994,17.2828,16.7397,21.7568,56.2922,False,True,False
TRN-0739,Valid,0,Valid,0,0.26,0.620380052399361,1,1.0257636208178145,0,Group 3 (Supervised Valid / Anomaly Anomalous),25.8255,92.7611,21.4121,43.8191,18.0762,17.7884,22.3099,,True,False,True
TRN-0385,Invalid,1,Invalid,1,0.6,0.4642186300293213,0,1.461207873133715,0,Group 2 (Supervised Invalid / Anomaly Normal),21.4684,24.2074,51.1547,9.6704,4.2763,11.1726,15.5607,34.8294,False,False,False
TRN-0291,Invalid,1,Invalid,1,0.81,0.44480156972078405,0,1.235612943414537,0,Group 2 (Supervised Invalid / Anomaly Normal),30.2047,71.6651,36.8927,13.263,16.0347,24.0258,23.2583,42.36,False,False,False
TRN-0933,Invalid,1,Invalid,1,0.77,0.4941792680488243,0,1.599483879046004,1,Group 2 (Supervised Invalid / Anomaly Normal),17.3708,23.4709,18.735,59.2931,10.2461,25.0,13.3719,57.3816,False,False,False
TRN-0463,Invalid,1,Invalid,1,0.75,0.462873689155755,0,2.2226553343302187,1,Group 2 (Supervised Invalid / Anomaly Normal),11.7153,40.6516,40.7035,20.2729,8.0814,25.0,10.1953,47.6679,False,False,False
TRN-0834,Valid,0,Valid,0,0.21,0.6105619826201945,1,1.0035684840322476,0,Group 3 (Supervised Valid / Anomaly Anomalous),29.9178,27.4687,35.7858,58.4409,16.4282,13.9856,21.5831,,True,False,True
TRN-0856,Invalid,1,Invalid,1,0.67,0.4795416803286268,0,1.2870341152252815,0,Group 2 (Supervised Invalid / Anomaly Normal),26.9065,91.7012,35.2636,56.763,15.1083,23.7716,23.0638,67.0168,False,False,False
TRN-0288,Valid,0,Valid,0,0.25,0.6368071524979049,1,1.0922229914074162,0,Group 3 (Supervised Valid / Anomaly Anomalous),15.735,21.5399,39.4762,5.9551,8.9844,8.6774,11.8477,,True,False,True
TRN-0171,Invalid,1,Invalid,1,0.61,0.4576323364901623,0,1.1727890275349342,0,Group 2 (Supervised Invalid / Anomaly Normal),15.6952,76.0224,22.3138,52.257,12.0119,20.1057,14.6344,67.6222,False,False,False
TRN-0773,Invalid,1,Invalid,1,0.77,0.42884373435438744,0,1.2106835509981857,0,Group 2 (Supervised Invalid / Anomaly Normal),18.149,40.6311,31.4089,53.4559,3.9127,10.9356,14.7335,61.6319,False,False,False
TRN-0113,Valid,0,Valid,0,0.22,0.6150612152875565,1,0.998477316780596,0,Group 3 (Supervised Valid / Anomaly Anomalous),31.1611,31.5237,42.6012,33.9683,17.1963,15.0119,22.7454,,True,False,True
TRN-0857,Invalid,1,Invalid,1,0.52,0.48956728897593876,0,1.2956325444998398,0,Group 2 (Supervised Invalid / Anomaly Normal),25.8889,64.2977,19.4549,21.4721,15.9859,15.0523,29.8671,25.7966,False,False,False
TRN-0254,Invalid,1,Invalid,1,0.68,0.4490427871041993,0,1.367956185273711,0,Group 2 (Supervised Invalid / Anomaly Normal),13.266,83.9721,38.084,37.6982,2.2307,13.2155,13.7599,62.2599,False,False,False
TRN-0009,Invalid,1,Valid,0,0.41,0.560403655188199,1,1.1995508939699042,0,Group 3 (Supervised Valid / Anomaly Anomalous),31.2031,56.1702,38.3074,25.3805,18.4606,16.8161,,45.1049,True,False,True
TRN-0695,Valid,0,Valid,0,0.32,0.6090032622493226,1,0.9862322130492839,0,Group 3 (Supervised Valid / Anomaly Anomalous),26.8977,53.7919,36.2464,6.1602,16.2587,15.1159,21.0038,,True,False,True
TRN-0649,Invalid,1,Invalid,1,0.78,0.4729129934879438,0,1.590801163071123,1,Group 2 (Supervised Invalid / Anomaly Normal),29.9515,24.049,37.3554,42.2616,16.174,3.8193,21.58,44.283,False,False,False
TRN-0508,Invalid,1,Invalid,1,0.75,0.477260328138157,0,1.3174516162754568,0,Group 2 (Supervised Invalid / Anomaly Normal),18.5872,24.0757,43.6181,36.0944,10.8484,9.9679,1.0,68.1033,False,False,False
TRN-0143,Invalid,1,Invalid,1,0.51,0.476726107607756,0,1.5763627922280268,1,Group 2 (Supervised Invalid / Anomaly Normal),31.0604,20.7146,49.4232,47.9427,13.4898,20.8227,22.3117,38.437,False,False,False
TRN-0468,Invalid,1,Invalid,1,0.61,0.42465611191711855,0,1.0954150759132992,0,Group 2 (Supervised Invalid / Anomaly Normal),11.3447,90.8143,31.9713,16.691,10.7875,12.9436,6.04,44.117,False,False,False
TRN-0181,Invalid,1,Invalid,1,0.55,0.4577417461410994,0,1.5779432579328474,1,Group 2 (Supervised Invalid / Anomaly Normal),18.6267,109.8992,25.7139,51.4145,15.5329,16.8204,6.878,45.3994,False,False,False
TRN-0215,Invalid,1,Invalid,1,0.99,0.49942087020282355,0,0.990501322924579,0,Group 2 (Supervised Invalid / Anomaly Normal),23.5742,80.0256,28.2073,5.4162,15.6847,15.9431,19.5115,52.9688,False,True,False
TRN-0529,Invalid,1,Invalid,1,0.79,0.4817140296674641,0,1.1746625493070568,0,Group 2 (Supervised Invalid / Anomaly Normal),31.0312,81.3554,30.7886,32.5102,19.8275,25.595,25.174,47.8984,False,False,False
TRN-0874,Invalid,1,Invalid,1,0.74,0.45958355238072024,0,1.5844092892054136,1,Group 2 (Supervised Invalid / Anomaly Normal),21.7457,52.85,38.0608,53.9387,14.0088,13.5919,1.0,63.0673,False,False,False
TRN-0059,Invalid,1,Valid,0,0.33,0.533253641731209,1,1.57116673749958,1,Group 3 (Supervised Valid / Anomaly Anomalous),30.7887,106.5889,44.7605,54.8665,21.3848,21.588,35.7555,55.686,False,False,False
TRN-0100,Valid,0,Valid,0,0.19,0.6065141411878345,1,0.97655700462106,0,Group 3 (Supervised Valid / Anomaly Anomalous),21.3697,98.1157,35.5882,6.5734,15.6299,16.7153,19.2324,,True,False,True
TRN-0292,Invalid,1,Valid,0,0.12,0.5062612133232132,1,1.3138638952233845,0,Group 3 (Supervised Valid / Anomaly Anomalous),17.4334,47.8325,29.7571,5.9921,17.1563,11.1729,14.0808,78.7172,False,False,False
TRN-0347,Valid,0,Valid,0,0.15,0.5044950813744051,1,1.3064521071315816,0,Group 3 (Supervised Valid / Anomaly Anomalous),31.3892,61.6279,30.734,59.4728,19.219,17.6853,24.8014,77.0681,False,False,False
TRN-0534,Valid,0,Valid,0,0.07,0.5220335775301564,1,1.497422689108056,0,Group 3 (Supervised Valid / Anomaly Anomalous),9.9767,102.2508,27.3341,52.6467,10.9906,13.3539,12.5827,12.1712,False,False,False
TRN-0357,Invalid,1,Invalid,1,0.99,0.482568848340409,0,0.9864085007809388,0,Group 2 (Supervised Invalid / Anomaly Normal),13.0874,48.0294,42.0912,28.1127,9.6031,10.4584,12.469,52.8484,False,True,False
TRN-0964,Valid,0,Valid,0,0.22,0.6147520527894281,1,1.0040240903702364,0,Group 3 (Supervised Valid / Anomaly Anomalous),17.1665,43.9713,47.3783,13.5215,10.8962,11.3229,14.2006,,True,False,True
TRN-0039,Invalid,1,Invalid,1,0.62,0.42673584880878707,0,1.153089817692106,0,Group 2 (Supervised Invalid / Anomaly Normal),15.0679,82.3924,27.7559,53.5868,10.1403,19.8333,15.3618,57.5077,False,False,False
TRN-0833,Valid,0,Invalid,1,0.54,0.4727778920157688,0,1.0821349484409883,0,Group 2 (Supervised Invalid / Anomaly Normal),9.3932,15.4321,32.6449,7.6237,5.4199,5.5241,7.3907,47.3802,False,False,False
TRN-0121,Invalid,1,Invalid,1,0.62,0.4663272743004247,0,1.3900472084037325,0,Group 2 (Supervised Invalid / Anomaly Normal),19.018,17.826,43.742,43.2296,1.7456,10.1924,14.6032,35.4098,False,False,False
TRN-0402,Invalid,1,Invalid,1,0.58,0.4198234778616474,0,1.0975907534017613,0,Group 2 (Supervised Invalid / Anomaly Normal),20.3494,47.6153,20.0764,38.3104,14.6877,18.0815,16.1271,60.5635,False,False,False
TRN-0692,Invalid,1,Invalid,1,0.61,0.44457312806308064,0,1.3867561223588147,0,Group 2 (Supervised Invalid / Anomaly Normal),21.0089,88.0631,36.4225,28.2623,24.9495,16.0915,18.8807,56.9598,False,False,False
TRN-0783,Valid,0,Valid,0,0.2,0.6193018510883923,1,1.003710191078142,0,Group 3 (Supervised Valid / Anomaly Anomalous),21.1949,108.7053,26.2056,47.5161,16.633,17.8845,20.0756,,True,False,True
TRN-0866,Invalid,1,Valid,0,0.46,0.5498318206844562,1,8.653229333855943,1,Group 3 (Supervised Valid / Anomaly Anomalous),10.0427,38.7344,30.3281,48.4402,0.0,7.9897,9.259,30.3878,False,False,False
TRN-0878,Invalid,1,Invalid,1,0.64,0.4249933249799996,0,1.303997172517455,0,Group 2 (Supervised Invalid / Anomaly Normal),13.9113,105.5919,33.6955,36.2678,10.5031,20.7532,15.6068,41.2921,False,False,False
TRN-0808,Invalid,1,Valid,0,0.28,0.5774193903031902,1,1.2908891233600666,0,Group 3 (Supervised Valid / Anomaly Anomalous),9.5961,62.7447,45.4544,7.0814,,10.0403,9.9205,53.4667,True,False,True
TRN-0175,Valid,0,Valid,0,0.18,0.5901948358180615,1,0.988120013975047,0,Group 3 (Supervised Valid / Anomaly Anomalous),12.5344,101.6442,32.2129,53.5995,12.1063,14.2966,14.2216,,True,False,True
TRN-0225,Invalid,1,Invalid,1,0.54,0.4586684870496869,0,1.3501773031283686,0,Group 2 (Supervised Invalid / Anomaly Normal),27.9293,38.0633,39.1615,20.9747,18.3877,21.4138,20.7639,64.6651,False,False,False
TRN-0512,Invalid,1,Invalid,1,1.0,0.47438900114425453,0,0.9864085007809388,0,Group 2 (Supervised Invalid / Anomaly Normal),13.4272,55.4707,35.9373,17.5331,9.7561,10.4939,12.1206,55.9888,False,True,False
TRN-0089,Invalid,1,Valid,0,0.45,0.5366492697079343,1,1.6576927654113116,1,Group 3 (Supervised Valid / Anomaly Anomalous),31.414,88.8354,24.8395,59.5524,28.5205,19.4702,25.3351,33.2402,False,False,False
TRN-0074,Invalid,1,Invalid,1,0.61,0.45217950175341637,0,1.4123962638668497,0,Group 2 (Supervised Invalid / Anomaly Normal),30.0968,32.2241,35.629,38.7023,16.5086,5.949,22.018,41.9803,False,False,False
TRN-0358,Invalid,1,Invalid,1,0.71,0.44948984822223936,0,1.3094248577081093,0,Group 2 (Supervised Invalid / Anomaly Normal),21.9169,69.2729,27.4127,57.3516,23.2412,14.8395,18.8472,57.6618,False,False,False
TRN-0852,Valid,0,Valid,0,0.27,0.638994035017837,1,1.0175869306616234,0,Group 3 (Supervised Valid / Anomaly Anomalous),27.0525,96.1578,35.4219,5.1608,18.2324,18.3623,22.7426,,True,False,True
TRN-0118,Invalid,1,Invalid,1,0.53,0.4940815001351553,0,1.3699044037013384,0,Group 2 (Supervised Invalid / Anomaly Normal),17.225,17.998,31.2125,18.4846,13.2507,2.3372,12.8889,33.3767,False,False,False
TRN-0683,Invalid,1,Invalid,1,0.62,0.4497925408056361,0,1.401968169577542,0,Group 2 (Supervised Invalid / Anomaly Normal),21.9239,53.253,38.5191,9.8962,17.3202,7.0374,17.6327,39.7699,False,False,False
TRN-0888,Invalid,1,Invalid,1,0.81,0.4782292170551778,0,1.114454739133835,0,Group 2 (Supervised Invalid / Anomaly Normal),29.1316,87.2646,32.8035,33.0805,21.8279,24.0598,24.2703,61.1365,False,False,False
TRN-0211,Valid,0,Valid,0,0.1,0.5045571158379341,1,1.1497331685340488,0,Group 3 (Supervised Valid / Anomaly Anomalous),29.5815,96.4859,33.6394,22.865,19.5361,19.4533,24.3634,21.8384,False,False,False
TRN-0535,Invalid,1,Valid,0,0.27,0.5036312740946377,1,1.5119898253924766,1,Group 3 (Supervised Valid / Anomaly Anomalous),26.1926,94.0394,24.7273,10.6431,17.7601,8.933,21.8885,29.1698,False,False,False
