Method,Test_ID,Load_Current_A,Applied_Voltage_kV,p1_max_abs_residual,Validity_Label,FN_Analysis
IQR_Statistical_Outlier,TRN-0622,23.2536,21.0295,6.456989203762762,Invalid,Historically Invalid test missed by IQR_Statistical_Outlier. Requires contextual/residual feature modeling.
IQR_Statistical_Outlier,TRN-0704,67.4291,24.0661,11.436283720968802,Invalid,Historically Invalid test missed by IQR_Statistical_Outlier. Requires contextual/residual feature modeling.
ZScore_Statistical,TRN-0135,37.0768,23.8796,14.853366451137695,Invalid,Historically Invalid test missed by ZScore_Statistical. Requires contextual/residual feature modeling.
ZScore_Statistical,TRN-0087,31.0902,17.6142,11.025271253790358,Invalid,Historically Invalid test missed by ZScore_Statistical. Requires contextual/residual feature modeling.
ZScore_Statistical,TRN-0533,72.927,17.5311,7.106398709854304,Invalid,Historically Invalid test missed by ZScore_Statistical. Requires contextual/residual feature modeling.
ZScore_Statistical,TRN-0323,94.5641,23.8319,6.203237684003529,Invalid,Historically Invalid test missed by ZScore_Statistical. Requires contextual/residual feature modeling.
ZScore_Statistical,TRN-0124,44.4546,28.7059,10.2075906895464,Invalid,Historically Invalid test missed by ZScore_Statistical. Requires contextual/residual feature modeling.
ZScore_Statistical,TRN-0518,68.5258,30.191,7.605493666704248,Invalid,Historically Invalid test missed by ZScore_Statistical. Requires contextual/residual feature modeling.
ZScore_Statistical,TRN-0097,15.5749,24.0983,23.23403982637224,Invalid,Historically Invalid test missed by ZScore_Statistical. Requires contextual/residual feature modeling.
ZScore_Statistical,TRN-0743,22.9675,16.6379,10.767170314168254,Invalid,Historically Invalid test missed by ZScore_Statistical. Requires contextual/residual feature modeling.
ZScore_Statistical,TRN-0304,17.7618,23.6657,5.625903600685852,Invalid,Historically Invalid test missed by ZScore_Statistical. Requires contextual/residual feature modeling.
ZScore_Statistical,TRN-0622,23.2536,21.0295,6.456989203762762,Invalid,Historically Invalid test missed by ZScore_Statistical. Requires contextual/residual feature modeling.
Isolation_Forest,TRN-0533,72.927,17.5311,7.106398709854304,Invalid,Historically Invalid test missed by Isolation_Forest. Requires contextual/residual feature modeling.
Isolation_Forest,TRN-0323,94.5641,23.8319,6.203237684003529,Invalid,Historically Invalid test missed by Isolation_Forest. Requires contextual/residual feature modeling.
Isolation_Forest,TRN-0518,68.5258,30.191,7.605493666704248,Invalid,Historically Invalid test missed by Isolation_Forest. Requires contextual/residual feature modeling.
Isolation_Forest,TRN-0743,22.9675,16.6379,10.767170314168254,Invalid,Historically Invalid test missed by Isolation_Forest. Requires contextual/residual feature modeling.
Isolation_Forest,TRN-0304,17.7618,23.6657,5.625903600685852,Invalid,Historically Invalid test missed by Isolation_Forest. Requires contextual/residual feature modeling.
Isolation_Forest,TRN-0622,23.2536,21.0295,6.456989203762762,Invalid,Historically Invalid test missed by Isolation_Forest. Requires contextual/residual feature modeling.
Isolation_Forest,TRN-0704,67.4291,24.0661,11.436283720968802,Invalid,Historically Invalid test missed by Isolation_Forest. Requires contextual/residual feature modeling.
Isolation_Forest,TRN-0168,103.1518,15.3642,11.217514992913664,Invalid,Historically Invalid test missed by Isolation_Forest. Requires contextual/residual feature modeling.
Isolation_Forest,TRN-0154,87.307,15.6191,10.449730934965046,Invalid,Historically Invalid test missed by Isolation_Forest. Requires contextual/residual feature modeling.
Isolation_Forest,TRN-0561,28.753,21.2552,9.609805519975438,Invalid,Historically Invalid test missed by Isolation_Forest. Requires contextual/residual feature modeling.
LOF_Local_Outlier_Factor,TRN-0087,31.0902,17.6142,11.025271253790358,Invalid,Historically Invalid test missed by LOF_Local_Outlier_Factor. Requires contextual/residual feature modeling.
LOF_Local_Outlier_Factor,TRN-0533,72.927,17.5311,7.106398709854304,Invalid,Historically Invalid test missed by LOF_Local_Outlier_Factor. Requires contextual/residual feature modeling.
LOF_Local_Outlier_Factor,TRN-0323,94.5641,23.8319,6.203237684003529,Invalid,Historically Invalid test missed by LOF_Local_Outlier_Factor. Requires contextual/residual feature modeling.
LOF_Local_Outlier_Factor,TRN-0124,44.4546,28.7059,10.2075906895464,Invalid,Historically Invalid test missed by LOF_Local_Outlier_Factor. Requires contextual/residual feature modeling.
LOF_Local_Outlier_Factor,TRN-0518,68.5258,30.191,7.605493666704248,Invalid,Historically Invalid test missed by LOF_Local_Outlier_Factor. Requires contextual/residual feature modeling.
LOF_Local_Outlier_Factor,TRN-0097,15.5749,24.0983,23.23403982637224,Invalid,Historically Invalid test missed by LOF_Local_Outlier_Factor. Requires contextual/residual feature modeling.
LOF_Local_Outlier_Factor,TRN-0743,22.9675,16.6379,10.767170314168254,Invalid,Historically Invalid test missed by LOF_Local_Outlier_Factor. Requires contextual/residual feature modeling.
LOF_Local_Outlier_Factor,TRN-0304,17.7618,23.6657,5.625903600685852,Invalid,Historically Invalid test missed by LOF_Local_Outlier_Factor. Requires contextual/residual feature modeling.
LOF_Local_Outlier_Factor,TRN-0622,23.2536,21.0295,6.456989203762762,Invalid,Historically Invalid test missed by LOF_Local_Outlier_Factor. Requires contextual/residual feature modeling.
LOF_Local_Outlier_Factor,TRN-0167,28.8878,9.1955,8.847235580580026,Invalid,Historically Invalid test missed by LOF_Local_Outlier_Factor. Requires contextual/residual feature modeling.
Residual_Consistency_Threshold,TRN-0185,48.0294,13.0874,2.0917970235337293,Invalid,Historically Invalid test missed by Residual_Consistency_Threshold. Requires contextual/residual feature modeling.
Residual_Consistency_Threshold,TRN-0718,106.4226,11.7229,2.7267017220398486,Invalid,Historically Invalid test missed by Residual_Consistency_Threshold. Requires contextual/residual feature modeling.
Residual_Consistency_Threshold,TRN-0944,82.4452,9.9425,0.7091860538899439,Invalid,Historically Invalid test missed by Residual_Consistency_Threshold. Requires contextual/residual feature modeling.
Residual_Consistency_Threshold,TRN-0793,90.2695,29.9433,2.9141166935694613,Invalid,Historically Invalid test missed by Residual_Consistency_Threshold. Requires contextual/residual feature modeling.
Residual_Consistency_Threshold,TRN-0069,55.4415,10.6599,0.3428669473291066,Invalid,Historically Invalid test missed by Residual_Consistency_Threshold. Requires contextual/residual feature modeling.
Residual_Consistency_Threshold,TRN-0357,48.0294,13.0874,2.0917970235337293,Invalid,Historically Invalid test missed by Residual_Consistency_Threshold. Requires contextual/residual feature modeling.
Residual_Consistency_Threshold,TRN-0808,62.7447,9.5961,1.9684624446973515,Invalid,Historically Invalid test missed by Residual_Consistency_Threshold. Requires contextual/residual feature modeling.
Residual_Consistency_Threshold,TRN-0918,45.7229,22.5775,1.3100120108467266,Invalid,Historically Invalid test missed by Residual_Consistency_Threshold. Requires contextual/residual feature modeling.
Residual_Consistency_Threshold,TRN-0665,55.4415,10.6599,0.3428669473291066,Invalid,Historically Invalid test missed by Residual_Consistency_Threshold. Requires contextual/residual feature modeling.
